COMMENT,MOOD
"Crush là ""glow up"" của trái tim!",InLove
 Kiệt sức rồi,Sad
 Tớ buồn vì tớ đã làm tổn thương cậu ấy,Sad
"Mất ngủ triền miên, mắt thâm như gấu trúc",Worry
" Tui không hiểu ""gu"" âm nhạc của ba mẹ... toàn nhạc ""hồi đó"", tui nghe ""tụt mood"" ngang! 📉",Sad
" Ugh, cái cảm giác trống rỗng này",Sad
"""Tui không muốn gặp ai hết. Tui chỉ muốn ở một mình thôi.""",Inlove
Không tự tin vào bản thân,Worry
Deadline dồn dập,Neutral
"""Tui 'tin tưởng' vào tương lai, mọi thứ sẽ tốt đẹp hơn.""",Happy
Tui mà không yêu ai á? Chắc chắn là do chưa ai xứng tầm với tui thôi! 💅,Inlove
 Mình có nên từ bỏ không?,Worry
 Nằm dài trên giường,Neutral
Mỗi lần nghĩ tới chuyện phải lớn lên là tui lại thấy sợ. Neverland here I come!,Worry
Luôn bên nhau dù có chuyện gì xảy ra! 🥰,Happy
 Tui muốn được tha thứ cho tất cả những lỗi lầm đã gây ra. 🙏,Worry
 Thời tiết quá lạnh.  Lạnh run!,Angry
Tui muốn được sống trong một thế giới hoàn hảo. Utopia!,Worry
Mắc cười quá!,Angry
"Sợ ""người ta"" sẽ yêu người khác",Inlove
"Muốn ""chill"" mà cũng không yên!",Angry
Cảm thấy hạnh phúc khi được ở bên gia đình và bạn bè,Happy
"Tui muốn cùng crush ""xây nhà và trồng cây"" (nếu được)!",InLove
" Đang nghe nhạc buồn, tự nhiên nhớ đến em ấy.  Chán vãi!",InLove
Tui ước gì mình có một người bạn,Worry
 Tui mệt rồi,Angry
Thử một loại bánh mới,Neutral
"""Chơi game thắng, cảm giác thật tuyệt vời.""",Happy
Tại sao tui lại ở đây?,Worry
"Mượn điện thoại không cho, cứ sợ tui ""xài hao pin"". Pó tay!",Angry
"**""Gét gô"":** Tự hứa với lòng là sẽ thay đổi nhưng mà... thôi dẹp đi",Worry
" Mất phương hướng, không biết đi về đâu",Sad
Hôm nay tui đã cười thật tươi,Happy
 Hạnh phúc là khi được chia sẻ yêu thương,Happy
"""Cần phải học cách chấp nhận những khuyết điểm của nhau.""",Inlove
Sao tui cứ phải lo lắng về những điều mình không thể kiểm soát vậy nè?,Worry
"Tui sợ phải đối mặt với những lời chỉ trích, phán xét 😟",Sad
"Tự nhiên thấy mình ""sáng tạo"", nghĩ ra bao nhiêu ý tưởng hay ho. 💡",Happy
Tìm hiểu về một đất nước,Neutral
 Tự nhiên thấy mình lạc lõng giữa vũ trụ bao la 🤔,Sad
Mong rằng khoảnh khắc này sẽ kéo dài mãi mãi,InLove
 Môi trường sống ngày càng ô nhiễm!,Angry
"Tự nhiên thấy mình vô dụng, chắc tại chưa tìm được đam mê",Worry
" ""Ám ảnh"" thiệt chứ!",Angry
Tui thích tự thiết kế quần áo cho mình,Happy
"Tui đang ""praying for"" tình yêu của tui và crush",Inlove
Tui ước gì mình có thể ngủ một giấc thật dài và quên hết mọi thứ,Worry
"Tui ghét phải chứng kiến những loài động vật bị tuyệt chủng, những khu rừng bị tàn phá",Worry
 Tui tự hào về bản thân mình,Angry
"""Đi du lịch"" cùng người yêu đến một nơi xa",InLove
Xí!,Angry
"Ước gì có ai đó hiểu được ""nỗi lòng"" của một đứa ""gen Z"" như tui",Sad
Tui thấy mình vô vọng,Worry
"""Những kỷ niệm đẹp, giờ chỉ còn là quá khứ.""",InLove
No cap! Tui đang tức á!,Angry
" Gió, thổi bay tóc",Neutral
 Tự nhiên buồn ngủ,Neutral
 Đi học về. Mệt,Neutral
Cần một khoảng lặng cho riêng mình,Worry
 😡😫  Mệt mỏi và giận dữ!,Angry
 Giống như tâm trạng của mình vậy,Sad
"""Every day is a new beginning..."" hy vọng là vậy",Sad
Tôi biết ơn những gì mình đang có,Happy
" ""Yeahhh, cuối tuần đến rồiii! Party thôiii!""",Happy
"""Nghe tiếng chim hót líu lo, thanh bình biết bao.""",Happy
"Sao cứ phải ""fit in"" khi tui thích ""stand out""? 🌟",Sad
Tui chỉ muốn được giúp đỡ thôi á! 🙏,Angry
 Ước gì mình đủ can đảm để nói ra,Inlove
Sắp xếp lại bàn học,Neutral
"Dù có chuyện gì xảy ra, tui vẫn luôn yêu thương bản thân mình",Sad
Tui sẽ viết một cuốn sách về cuộc đời tui!,Inlove
Tin tưởng cậu,Inlove
"Giá mà tui có thể đọc được suy nghĩ của ""crush""... 🥰",Sad
 Ugh!,Angry
"Crush làm tui ""shortcut"" đến trái tim tui!",InLove
Tui chỉ muốn có một công việc ổn định thôi á! 🥺,Angry
 Muốn có một người bạn thật sự,Worry
" Trời ơi tin được không, bài kiểm tra khó nhằn nhất quả đất mà tui được hẳn 9 điểm luôn á! Mấy bà biết tui đã thức đêm cày cuốc thế nào mà 😭 xứng đáng quá đi!",Happy
Tui cảm thấy tui bị cô lập bởi mạng xã hội,Sad
 Trời ơi cái wifi rùa bò vậy?! Đang cày game mà đứng hình là muốn đập máy!,Angry
"Tui không muốn ""cãi nhau"" với cậu nữa",Inlove
"Giúp đỡ một người gặp khó khăn, thấy mình thật ""cao thượng""! 😊",Happy
" ""Toang""!",Angry
 Oh my god!,Angry
Không biết mình có đủ mạnh mẽ để vượt qua chuyện này không nữa,Worry
"""Trend"" gì tui cũng ""miss"", đúng là ""loser"" mà 🤡",Sad
Cưng xỉu!,Happy
"""Mới nạp tiền vào tài khoản thì bị hack mất. Tức muốn khóc!!!""",Angry
Sao bạn không dỗ dành tui đi?,Inlove
"Tự nhiên thấy mình ""bất tài""... chắc do chưa cố gắng hết mình",Worry
Sao tui cứ mãi tự ti về bản thân mình vậy nè?,Sad
 Hãy để lại một dấu ấn đẹp,Sad
 Nay thuyết trình mà run như cầy sấy. Nói lắp bắp chắc chắn bị trừ điểm sml. Tự tin lên nào con tim bé nhỏ!,Worry
Tui ước gì mình thông minh hơn,Worry
"""Đừng hứa hẹn khi đang vui, đừng quyết định khi đang buồn.""",Inlove
Hôm nay mình đã cảm thấy rất trống rỗng,Worry
Tui chỉ muốn được sống một cuộc đời thật ý nghĩa thôi mà... 😔,Worry
"""Bực bội"" khi bị ""soi mói"" đời tư, ai cho phép vậy?",Angry
"""Tình yêu cần sự tin tưởng và tôn trọng.""",Inlove
"Nghe một bài nhạc buồn mà thấy lòng mình trùng xuống theo luôn... Đúng là ""nhạc nào lòng nấy"" mà... 🥲",Worry
"""Thả dáng"" ở quán cafe mới mở, sống ảo ""chất lừ""!",Happy
"""Tìm lại"" sự bình yên trong tâm hồn, ""giải tỏa"" căng thẳng!",Happy
 Tôi sẽ luôn tự hào về bản thân mình,Angry
Tui hận cả thế giới!,Angry
" Hôm nay anh ấy nhắn tin!  Phải giữ bình tĩnh, phải giữ bình tĩnh…  (Nhưng mà tim tui vẫn đập thình thịch!)",InLove
 Tui trân trọng từng khoảnh khắc bên cậu ấy,InLove
 Tương lai bất định,Neutral
Tui ước gì mình có thể trở thành một người khác,Worry
"Em có phải là mưa không, sao em cứ ""rơi"" vào tim anh? 🌧️",Happy
" Hờ, kệ đi!",Angry
Đôi khi tao chỉ muốn được là một đứa trẻ. 👶,Sad
"""Tình yêu là một hành trình dài.""",Inlove
" ""Crush"" gì mà ""nhạt nhẽo"". Nói chuyện chán muốn ""xỉu"". 😒",Angry
Đm! Sao lại như vậy?,Angry
 Mình nỗ lực hết sức nhưng chẳng được công nhận. Thật bất công!,Angry
"Cảm thấy như mình không đủ giỏi, không đủ xinh đẹp",Worry
" Tự nhủ phải học cách ""chấp nhận sự thật"" rằng crush không thích mình. Nhưng mà khó quá! 😢",Inlove
Mệt mỏi với mọi thứ!,Angry
 Tôi muốn trút bỏ tất cả những cảm xúc tiêu cực này,Angry
Không muốn một mình nữa,Worry
" Học hành ""stress"" quá trời, chỉ muốn ""xõa"" hết mình thôi!",Angry
 Tôi muốn hét lên cho đã!,Angry
"Tui ""living"" một cuộc sống đầy màu sắc!",Happy
 Chán đời!,Angry
Yoga. Thư giãn,Neutral
Mình muốn được lắng nghe,Worry
Tui thấy mình đau khổ,Worry
 Đi dạo,Neutral
"Tui ""waving"" chào đón những điều tốt đẹp!",Happy
 Nhạc cũng chán,Neutral
"Sao ai cũng ""kì kèo"" vậy? 😒 (Again!)",Angry
"Tui muốn ""biến thành"" con mèo để được ""ăn ngủ"" cả ngày, sướng!",Sad
Cảm thấy bị tổn thương sâu sắc,Sad
Tin tưởng và yêu thương nhau vô điều kiện! ❤️,Happy
Cảm giác như đang bị bỏ lại phía sau,Sad
"Tui thấy mình như ""outsider"" vậy đó",Sad
Nghe tiếng còi xe. Ồn ào,Neutral
"Tui tin rằng ""idol"" là nguồn cảm hứng!",Happy
Đọc thơ. Thấy hay,Neutral
Tôi đã làm gì sai?,Worry
" Sao ai cũng có ""crush"" hết trơn, còn tui thì ""ế bền vững"" vậy nè?",Sad
" Ăn được miếng gà rán giòn tan, hạnh phúc như trúng số á trời! 🍗",Happy
 Nice!,Happy
 Đi ngủ thôi,Neutral
Chụp hình sống ảo mà bị chó đuổi! Hết hồn!,Angry
Tui sợ mình sẽ không bao giờ đủ giỏi... 😟,Worry
 NOOOO!,Angry
 Mình muốn…  muốn bảo vệ em ấy,InLove
"Tự tạo ""moment"" để được gần crush hơn một chút",InLove
 Sắp xếp lại phòng ốc gọn gàng ngăn nắp,Happy
 Mặc kệ!,Angry
"Được đi xem phim rạp với crush, ""date"" đầu tiên!",Happy
"Tụi tui hứa sẽ mãi là bạn thân, dù sau này có già đi chăng nữa",Happy
"Crush ơi! Sao crush ""cute"" dữ vậy nè!",InLove
 Tôi không muốn gặp ai cả!,Angry
Chiến tranh. Tàn khốc,Neutral
Ước gì crush biết tui thích crush nhiều như thế nào!,InLove
 Cảm giác như muốn nổ tung!,Angry
"Haizz, bó tay!",Angry
"Tui đang ""đu đưa"" theo điệu nhạc. 🎶",Sad
Tôi muốn biến mất khỏi thế giới này 😩,Worry
Ước gì mình có thể biến mất khỏi thế giới này. Đôi khi thấy mệt mỏi với mọi thứ,Worry
"Tui muốn được sống một cuộc đời ý nghĩa, có ích cho xã hội 🙏",Sad
Kệ nó,Neutral
"Tui đang ""edit"" video ""bựa"" cho vui. 😂",Sad
Cái loại bạn bè rởm,Angry
"""Ghét nhất mấy đứa 'seen' mà không 'reply', coi thường người ta hả?""",Angry
"Hy vọng một ngày crush sẽ ""nhận ra"" tình cảm của mình",InLove
" Hạnh phúc đến bất ngờ, nhưng mình vẫn ổn!",Happy
 Tức ói máu,Angry
" Stress dã man, muốn nổ tung rồi",Worry
"Lỡ lời làm bạn buồn, thấy áy náy",Worry
Đi siêu thị. Mua đồ,Neutral
Tui muốn khóc mà tui không biết tại sao,Sad
Cảm giác như mình đang bị mắc kẹt trong một cái vòng luẩn quẩn... 🔄,Worry
Sao tui cứ cảm thấy lạc lõng vậy nè? Lost in translation!,Worry
 Hết ngày,Neutral
Chỉ có mình thôi,Neutral
" 😵‍💫  Mệt mỏi vô cùng, muốn nghỉ ngơi",Worry
Sao mình cứ mắc sai lầm vậy?,Worry
"""Tự hứa với bản thân sẽ không ""tự ngược"" bản thân nữa. Nhưng mà...""",Inlove
"Nay làm việc thiện, vui cả ngày. 😄",Neutral
"Tui thích cái cách bạn nhìn tui, ""melting"" luôn!",Inlove
"""Đi du lịch"" để khám phá thế giới",Sad
"""Tức muốn ói máu"" khi thấy mấy đứa ""tham lam"", vừa vừa thôi!",Angry
What the heck?,Angry
Chắc tui nên trân trọng những gì mình đang có,Sad
Muốn được yêu thương,Sad
"Sao ai cũng thích ""đùa dai"" vậy trời? Vô duyên quá!",Angry
"""Bực mình"" khi...!",Angry
"Tui ""salty"" một chút nhưng vẫn yêu đời!",Happy
"Tui thấy mình như đang đi trên con đường gập ghềnh, đầy chông gai. 🛤️",Worry
 Không thể tin được chuyện đang xảy ra,Angry
"Ngắm trăng sao trên trời, cảm thấy mình nhỏ bé giữa vũ trụ bao la. 🌙",Happy
 Ai đó vừa nói gì đó. Không nhớ,Neutral
 Muốn hét lên cho thỏa nỗi lòng,Sad
"""Tui ""search"" ""meaning of life"" mà Google cũng bó tay.""",Inlove
Tui ước gì có thể đóng băng thời gian để mãi mãi ở bên đám bạn thân 🥲,Happy
" ""Flex"" nhẹ outfit mới, biết đâu ổng để ý thì sao? 😉",InLove
" Kiểu, tui sợ lớn á bà, lớn rồi ai cho tiền ăn kem nữa?",Worry
" Cuối tuần rồi, ngủ nướng cả ngày thôi",Happy
 Mình tin vào tình yêu của chúng mình,InLove
Tự dưng thấy ghét mấy đứa hay thả tim dạo crush tui. Bực mình!,Inlove
Tui muốn sống một cuộc đời thật tự do và ý nghĩa,Happy
 Người ta cứ nói chuyện không coi trọng mình,Angry
"""Đang lướt TikTok cười như được mùa thì bị mẹ mắng là vô duyên. 😒""",Angry
"Bị bạn bè ghosting, tổn thương thực sự",Worry
 Chả hiểu gì cả,Neutral
 Mình là ai giữa dòng đời hối hả?,Worry
"Crush là ""tất cả những gì tui cần""!",InLove
Muốn đi đâu đó thật xa,Inlove
"Tui có một ước mơ lớn, và tui sẽ thực hiện nó! ✨",Happy
 Bình yên là đây,Happy
Cảm thấy hơi cô đơn. Cũng bình thường,Neutral
 Chán nản,Neutral
" *Ôi dào, ngon xỉu!  Món này đỉnh thật đấy!* (Văn phong đời thường, ngắn gọn)",Happy
Tui ước gì mình có thể tìm thấy một nơi thuộc về mình... 🏡,Worry
"Tim đập thình thịch, sợ quá đi",Worry
Tạm biệt,Neutral
"Sao mình cứ mãi ""loser"" vậy? 😭",Sad
 Tranh luận với ai đó.  Kết thúc,Neutral
Nghĩ linh tinh,Neutral
" Đêm nay, tôi sẽ xem phim hành động cho bõ ghét!",Angry
" Tim mình như bị bóp nghẹt, mỗi nhịp đập đều chứa đầy nỗi sợ hãi",Worry
"""Anh muốn"" cùng em đi khắp thế gian",Sad
 Tôi cảm thấy như mình đang đứng trên bờ vực của sự bùng nổ,Angry
 Cayyyyy!,Angry
"Liệu mình có đang ""toxic"" với chính mình không? 😟",Worry
Cô đơn là người bạn đồng hành của tôi,Sad
"""Thính thơm mỗi ngày…"" (kèm câu thả thính siêu đỉnh) 😉",Inlove
"""Không hiểu sao mấy người cứ thích 'tọc mạch' chuyện của người khác zậy?""",Angry
"Tui ""celebrate"" diversity. ""Different is beautiful""!",Happy
 Cảm thấy mình như đang lạc giữa sa mạc,Sad
"Bị lỡ chuyến xe buýt, giờ phải đợi thêm 30 phút nữa! Cực!",Angry
"""Kem bơ"" Đà Lạt ""siêu đỉnh"", ""check-in"" sống ảo liền tay!",Happy
Tìm được đường. Đi tiếp,Neutral
Thứ cần mua: ,Neutral
Tui thấy mình thất bại,Worry
Đôi khi tui muốn hét lên cho cả thế giới biết tui thích crush!,InLove
" Hôm nay ""flex"" nhẹ cái hình ổng/bả. Ai ""gato"" kệ người ta! 😎",InLove
"""Đau"" mà không ai hay",Sad
"Tui thích mấy anh có ""sense"" thời trang, nhìn là mê liền. #thoitrang #sense #me",Inlove
"""Có ai đó nói rằng tình yêu đơn phương là một thứ tình cảm đẹp. Chắc chỉ đẹp khi ở trong phim thôi.""",Inlove
"""Tui chỉ muốn yên bình lướt tóp tóp thôi mà cũng không được :(""",Angry
" Mệt mỏi, nằm trên giường",Neutral
Sống qua ngày,Neutral
Tui sợ tui sẽ không đủ sức mạnh,Sad
Tui muốn chấp nhận bản thân mình,Sad
Tôi ước mình có thể đứng lên mạnh mẽ hơn,Sad
 Mơ ước hoài bão tan thành mây khói,Sad
"""Muốn"" được ai đó an ủi",InLove
"Biển xanh cát trắng, còn tui thì ""trắng tay""",Sad
Tôi ước mình có thể yêu bản thân mình hơn,Sad
Real talk! Bớt xàm dùm cái! Mệt mỏi!,Angry
"Tui muốn ""escape"" khỏi thực tại tàn khốc này",Sad
 Hôm nay mình với crush cùng mặc áo đôi (tình cờ thôi nha!). Coi như là tín hiệu vũ trụ đi hen? ✨,Inlove
Không có gì vui,Neutral
"""Tức tới óc, bị 'crush' 'crush' người khác!""",Angry
"""Tui ""enjoy"" cuộc sống độc thân này lắm.""",Inlove
" Sao ai cũng giỏi giang, xinh đẹp hết vậy? Nhìn lại mình chỉ muốn độn thổ thôi",Worry
Tui muốn để lại dấu ấn của mình trên thế giới này,Happy
"Chắc tui nên đi ""làm từ thiện"" để giúp đỡ những người khó khăn hơn mình. 🙏",Sad
 Đọc sách. Tên sách? Quên rồi,Neutral
 Cái máy tính này chậm kinh khủng!,Angry
 Tui muốn được kết nối với mọi người xung quanh. 🔗,Worry
"""Giá mà có thể ""rewind"" thời gian để sửa lại những lỗi lầm.""",Inlove
 Niềm vui bất tận,Happy
 Không có gì đặc biệt,Neutral
Nó tha mồi,Neutral
" Bạn thân có ""bồ"", bỏ tui ""bơ vơ"" luôn. 😭",Sad
 Lại được điểm cao môn mình ghét nhất!  🤯 (nhưng vui!),Happy
Tui không muốn phải sống trong sự gò bó nữa,Sad
Ghét cái thái độ đó ghê,Angry
"Mua được món đồ ""sale off"", tiết kiệm được một khoản! 🛍️",Happy
Tham gia một hoạt động tình nguyện ý nghĩa🤝,Happy
"""Nhảy cùng"" người yêu dưới ánh trăng",InLove
"Tui muốn được là một người mạnh mẽ, kiên cường 💪",Sad
"Đi dạo công viên và tận hưởng không khí trong lành, cuộc sống thật bình yên",Happy
Tui không thể sống thiếu những trò đùa của ảnh/cô ấy!,InLove
"Tui sợ phải thất bại. Thất bại đồng nghĩa với việc tui là một ""loser""",Worry
 Muốn được biến mất mãi mãi,Sad
Tiếng ồn. Bịt tai,Neutral
"Tui muốn ""scream"" thật to để giải tỏa hết những ""stress"" trong lòng! 🗣️",Sad
(ồ ồ),Neutral
Giá như mình có thể reset lại cuộc đời,Worry
"Gửi ""sticker"" cho nhau mỗi ngày để đỡ nhớ!",InLove
"Tui vừa mới ""lỡ tay"" mua một đống đồ online. Thôi thì tự an ủi là ""đầu tư cho bản thân""",Happy
" Cái người đó cứ hay thả thính mình, không biết thật hay giả.  Thật bực mình",Angry
 Đừng quên trân trọng những điều mình đang có,Happy
Ước gì có thể sống thật với bản thân mình,Worry
" Hôm nay outfit đỉnh của chóp, ai nhìn cũng phải ngoái lại. Slayyy!",Happy
" Học ""deadline"" ngập mặt mà vẫn ""rep in4"" ổng first",InLove
"""Mình"" cảm thấy may mắn khi có những người bạn tốt!",Happy
Tôi cảm thấy như mình đang chết dần,Sad
Sao tui cứ mãi sống trong quá khứ vậy nè?,Sad
"""Đôi khi hạnh phúc chỉ là một khoảnh khắc thoáng qua, nhưng đủ để sưởi ấm cả tâm hồn.""",Happy
Report. Báo cáo,Neutral
"(Không đại từ) Bị làm bẽ mặt trước mặt ""crush"", ""nhục nhã""!",Angry
"Em ""sợ"" cô đơn, nên anh đừng ""bơ"" em nha 😉",Worry
"Ước gì có ""filter"" cho cuộc đời, để ""edit"" lại mấy pha ""fail"" của tui",Sad
"Hôm nay, tôi tìm thấy vẻ đẹp trong những điều nhỏ bé",Happy
Hết vui,Neutral
Ước gì mình xinh đẹp/đẹp trai!,Angry
Sợ cô đơn,Worry
Ổng lại quên mất ngày kỷ niệm của tụi mình rồi! 😒,Inlove
"Tui cùng ""cạ cứng"" đi ""du lịch bụi""!",Happy
 IYKYK,Neutral
Tức tối vì bị cấm đi chơi. 😤,Angry
Sao mình cứ phải một mình vậy?,Worry
" ""Mỗi lần ""crush"" rep story là tui phải ""recheck"" lại cả chục lần cho chắc.""",Inlove
Cuộc đời tui,Neutral
Tại sao tôi cứ mãi không tìm được lối ra?,Sad
"""Tui tặng crush móc khóa đôi, hy vọng crush thích!""",InLove
"Tui ước gì mình có thể tìm thấy được những người bạn thật sự, những người hiểu và chấp nhận mình",Worry
Tui lỡ tay làm vỡ cái điện thoại mới mua... Tiền đâu mà đền bây giờ? 💸,Worry
"""Học bổng"" tới rồi, ""vui mừng"" khôn xiết!",Happy
"Muốn ""xõa"" hết mình mà cứ bị ""kìm kẹp"", bực ghê!",Angry
Cứ sống tiếp thôi,Neutral
 …,Neutral
"""Mới tậu filter ảo diệu, ai dè mặt mình vẫn xấu như ma. 🤡""",Angry
"Tui không ""care"" nha!",Angry
"""Cây đổ"" chắn đường, tui ""mắc kẹt"" tới tối!",Angry
Mình sợ rằng mình sẽ không bao giờ tìm thấy hạnh phúc thực sự,Worry
"""Tui hay ghen tị với những người được crush quan tâm.""",InLove
Vẫn như mọi ngày,Neutral
 Hừm…  Thật là khó chịu,Angry
"Tui đang ""nghiện"" album mới của thần tượng",Happy
"""Đôi khi ""im lặng"" là câu trả lời tốt nhất.""",Inlove
 Tự làm tự chịu,Angry
Đi đến những vùng đất mới,Inlove
"Tui đang ""glow up"" mỗi ngày!",Happy
"Nhận được lời khen từ người lạ, tự dưng thấy ""positive vibe"" hẳn. ✨",Happy
Ngồi thừ người ra,Neutral
"""Làm bài kiểm tra sai hết. Tui học hành chăm chỉ mà!!!""",Angry
"""Tui sợ ổng chỉ coi tui là bạn. Friendzone is real!""",Inlove
"""Ủa kì zậy, mình làm gì cũng bị chê!""",Angry
"Mệt mỏi, lo lắng quá",Worry
Tôi muốn quên đi tất cả,Sad
"Sao tui cứ ""compare"" mình với những người trên mạng xã hội vậy nè?",Worry
"Ghét nhất khi bị ""burn-out""! 🤯",Angry
"Deadline cận kề, não nát như bún rối",Sad
" Tự ti về bản thân quá mức.  Mình thấy mình chẳng có gì nổi bật cả, sợ bị mọi người cười chê",Worry
Vì sao?,Angry
Tui đi massage!,Happy
"Muốn tìm một lý do để tiếp tục sống, nhưng lại chẳng tìm thấy",Worry
 Tui sợ thất bại lắm luôn á. Cứ nghĩ tới là muốn xỉu ngang... 😵,Worry
 Bế tắc thật sự,Worry
 Tôi đang cố gắng tìm lại sự bình yên trong tâm hồn,Worry
"Tình yêu là gì? Là khi bạn nhận ra người kia ""perfectly imperfect"". ✨",Inlove
Sợ người ta đánh giá,Worry
Tui thấy mình như một người nghệ sĩ đang sáng tạo nên những tác phẩm độc đáo. 🎨,Worry
Ngáp. Buồn ngủ,Neutral
"Tui muốn được đứng lên sau mỗi lần gục ngã, mạnh mẽ hơn. 🦁",Worry
 Đọc tin tức,Neutral
Tự dưng muốn nuôi chó. 🐶,Neutral
Cười nhiều để làm gì khi đêm về chỉ có nước mắt?,Sad
"""Anh/Em hứa"" sẽ luôn tin tưởng em/anh",InLove
" ""Tui mà là nhà tâm lý học, tui sẽ phân tích hết mấy cái đứa ""khó ở"" để tìm ra nguyên nhân!""",Angry
Lướt Insta thấy ảnh người ấy là tim tự động thả tym,InLove
"Ổng hứa rồi lại quên, thất vọng!",Inlove
"Học online riết, tui sợ mình quên cách giao tiếp ngoài đời luôn á",Worry
"Tui thích ""troll"" ảnh/cô ấy mỗi ngày!",InLove
 Bring it on!,Angry
"Tui muốn ""disconnect"" khỏi thế giới ảo để kết nối với thế giới thực",Sad
Mình muốn được sống trong mơ,Sad
"""Học hỏi"" về văn hóa khác nhau, ""tôn trọng"" sự đa dạng!",Happy
 Đang hy vọng vào điều gì đó,Neutral
Tức á!!!,Angry
Tui sẽ luôn trân trọng tình bạn này! ❤️,Happy
 Chỉ muốn được ôm người ấy vào lòng,InLove
Ước gì tui có thể giữ mãi tình bạn này,Sad
" Yêu anh ấy,  cảm giác này thật khó diễn tả bằng lời.  💖",InLove
Crush nay có vẻ thân thiết với đứa con gái mới chuyển đến,Inlove
 Lướt mạng. Thấy meme. Cười. Tắt,Neutral
 Thôi stop,Neutral
"""Tui muốn ""biến mất"" khỏi cuộc đời của ""bae"".""",Inlove
Tui cảm thấy tui bị bỏ lại phía sau,Sad
"Hãy sống một cuộc đời ý nghĩa, và để lại dấu ấn tốt đẹp cho thế giới",Happy
 OMG!  Deadline sát sạt rồi mà mình vẫn đang… lướt TikTok.  Chết chắc rồi! 😂😭,Worry
 Vẫn bình thường,Neutral
"Được nghỉ học bù, sướng nhất cái nách",Happy
Tui sợ phải làm người khác thất vọng. Pressure is on!,Worry
"""Em"" cảm thấy cơ thể mình tràn đầy năng lượng!",Happy
"Bực mình khi bị đồng nghiệp ""chơi xấu""! 👿",Angry
 Cảm thấy bình thường,Neutral
Oke,Neutral
 Thề luôn á,Angry
Ước gì ngày nào cũng là cuối tuần,Happy
 Thấy mình đẹp trai/xinh gái quá thể! 😎,Happy
"Áp lực quá, thở không nổi",Worry
"Nay tui ""jumping"" lên vì sung sướng!",Happy
Tại sao? Tại sao?,Worry
Không làm. Để sau,Neutral
"Thấy idol ra MV mới, ""fangirl/fanboy"" trỗi dậy!",Happy
 Vì tương lai của mình,Worry
 Vô nghĩa,Worry
Đạt được điều mình muốn,Neutral
"""Tui"" sẽ luôn cố gắng để trở thành một người tốt hơn!",Happy
Tui cảm thấy mình lạc lõng giữa thế giới rộng lớn này,Sad
" Mấy bà ơi, tự chữa lành có khó không? Tui thấy mệt quá à",Sad
"""Hôm nay lỡ miệng chê tóc mới của con bạn. Nó giận rồi. 😭""",Angry
" ""Crush"" ơi là ""crush"", sao bạn cứ ""troll"" tui hoài zậy?",Inlove
"Hôm nay quyết định bỏ hết mọi lo âu, sống cho hiện tại thôi. 🙅‍♀️",Happy
Cái giọng của nó nghe muốn đấm ghê á!,Angry
"""Tui thấy ổng hay ""like"" ảnh của nhỏ khác. Ghen tị ghê á.""",Inlove
Tui muốn được là nguồn cảm hứng cho những người xung quanh ✨,Sad
 Nó làm vậy là cố tình đấy!  Chắc chắn luôn!,Angry
Ước gì tui có trí nhớ siêu phàm để học đâu nhớ đó,Sad
"Ba mẹ cứ so sánh tui với con nhà người ta, mệt mỏi dễ sợ. Sao không ai hiểu tui hết vậy nè? 😭",Worry
 Đang code,Neutral
"Biết là ""không có cửa"" nhưng tui vẫn cứ ""đâm đầu""!",InLove
"Nay tui ""hack"" được tips hay ho, chia sẻ liền cho mọi người cùng biết! 💡",Happy
 Tôi đang rất bực mình!,Angry
" Hôm nay mình gặp ác mộng.  Mình thấy mình bị đuổi bắt trong một khu rừng tối tăm, đầy rẫy nguy hiểm",Worry
Thấy người ta cãi nhau. Né,Neutral
Sao mọi người cứ rời bỏ tôi?,Sad
Muốn biến mất khỏi thế giới này!,Angry
Tui không biết mình có thể tin tưởng ai nữa. Trust issues!,Worry
Muốn bỏ hết tất cả,Neutral
Tui cảm thấy như mình đang bị mắc kẹt trong một vòng xoáy,Sad
 Nghe nhạc,Neutral
Đi tình nguyện. Ý nghĩa,Neutral
 Xem phim tình cảm là khóc như mưa,Inlove
"Tui có một ước mơ lớn, và tui sẽ thực hiện nó! ✨",Happy
" Thích tui mà cứ ""ú ớ"". ""Tỉnh"" lại dùm cái coi. 🙄",Angry
"Sao tui cứ ""overthinking"" mãi thế này? 🤔",Sad
"Được ngủ nướng cả ngày, sướng như tiên! 😴",Happy
 Hạnh phúc quá đỗi,Happy
Đôi khi hạnh phúc chỉ đơn giản là một tách cà phê nóng vào một ngày mưa,Happy
Tới công chiện với tui!,Angry
 Tao sẽ không tha cho mày đâu!,Angry
" Hôm nay con Sen nhà tui dám lấy đồ ăn vặt của tui! Trời ơi, nó nghĩ nó là ai? >:(",Angry
Đi hiệu sách. Đọc lướt,Neutral
"""Tại sao lúc nào tao cũng phải cố gắng? Mệt mỏi quá!""",Angry
Deadline dồn dập,Neutral
Mình cần phải mạnh mẽ hơn nữa,InLove
 Tự phê bình bản thân,Neutral
"Tui muốn được tự do thể hiện cá tính, không bị gò bó. 💃",Worry
Tui muốn trở thành một người thành công và giàu có 💰,Sad
 Không biết vì sao nữa,Sad
 Mình yêu người ấy rất nhiều!,InLove
Nghĩ về những điều đã qua,Neutral
"""Crush ơi, em sẽ luôn ở bên crush dù có chuyện gì xảy ra.""",Inlove
