COMMENT,MOOD
 Cuộc nói chuyện ngắn,Neutral(Meh)
 Im lặng,Neutral(Meh)
 Đang suy nghĩ. (Không rõ suy nghĩ gì),Neutral(Meh)
 Nhìn chằm chằm vào bức tường,Neutral(Meh)
 Lắng nghe tiếng đồng hồ tích tắc,Neutral(Meh)
 Cảm thấy mệt mỏi,Neutral(Meh)
 Cảm thấy đói,Neutral(Meh)
 Cảm thấy khát,Neutral(Meh)
 Cảm thấy buồn ngủ,Neutral(Meh)
 Không có cảm xúc gì cả,Neutral(Meh)
 Thờ ơ,Neutral(Meh)
 Trạng thái tĩnh lặng,Neutral(Meh)
 Sự trống rỗng,Neutral(Meh)
 Không có gì đáng chú ý,Neutral(Meh)
 Sự tầm thường,Neutral(Meh)
 Nhịp điệu chậm chạp,Neutral(Meh)
 Không có động lực,Neutral(Meh)
 Thiếu hụt cảm xúc,Neutral(Meh)
 Sự vô cảm,Neutral(Meh)
 Sự thờ ơ với mọi thứ,Neutral(Meh)
 Không quan tâm,Neutral(Meh)
 Không có phản ứng,Neutral(Meh)
 Bình thản,Neutral(Meh)
 Không có hy vọng,Neutral(Meh)
 Không có nỗi sợ hãi,Neutral(Meh)
" Đã xem phim, nhưng không nhớ nội dung",Neutral(Meh)
" Đi dạo, nhưng không cảm thấy thư giãn",Neutral(Meh)
" Ăn tối, nhưng không ngon miệng",Neutral(Meh)
" Ngủ, nhưng không ngon giấc",Neutral(Meh)
" Làm việc, nhưng không hiệu quả",Neutral(Meh)
" Đọc sách, nhưng không hiểu nội dung",Neutral(Meh)
" Nghe nhạc, nhưng không cảm thấy gì",Neutral(Meh)
" Nói chuyện, nhưng không có gì để nói",Neutral(Meh)
" Viết nhật ký, nhưng không biết viết gì",Neutral(Meh)
" Suy nghĩ, nhưng không có kết luận",Neutral(Meh)
 Sự kiện diễn ra theo đúng kế hoạch.  (Văn phong trang trọng),Neutral(Meh)
 Chuyện chẳng có gì đáng kể. (Văn phong đời thường),Neutral(Meh)
 Tiến trình diễn ra một cách máy móc. (Văn phong hình tượng),Neutral(Meh)
 Không có biến động đáng kể nào. (Văn phong báo cáo),Neutral(Meh)
" Ngày hôm nay, không có gì. (Văn phong ngắn gọn)",Neutral(Meh)
 Mọi thứ đều diễn ra như dự kiến. (Văn phong chắc chắn),Neutral(Meh)
 Tình trạng ổn định. (Văn phong chuyên nghiệp),Neutral(Meh)
 Thứ tự sự việc vẫn giữ nguyên. (Văn phong khoa học),Neutral(Meh)
 Tiếp tục những hoạt động thường nhật. (Văn phong hành chính),Neutral(Meh)
 Sự tuần hoàn của thời gian. (Văn phong triết học),Neutral(Meh)
 Như mọi khi,Neutral(Meh)
 Cứ thế mà trôi,Neutral(Meh)
 Không có gì mới,Neutral(Meh)
 Chẳng có gì thay đổi,Neutral(Meh)
 Vẫn như cũ,Neutral(Meh)
 Tình hình hiện tại,Neutral(Meh)
 Mọi thứ vẫn bình thường,Neutral(Meh)
 Tiếp tục cuộc sống,Neutral(Meh)
 Một ngày nữa trôi qua,Neutral(Meh)
 Không có gì đáng nói,Neutral(Meh)
 Đã thực hiện các thao tác cần thiết,Neutral(Meh)
 Hoạt động diễn ra theo trình tự,Neutral(Meh)
 Các sự kiện đã xảy ra,Neutral(Meh)
 Quan sát được hiện tượng…,Neutral(Meh)
 Ghi nhận sự việc…,Neutral(Meh)
 Thu thập thông tin…,Neutral(Meh)
 Phân tích dữ liệu…,Neutral(Meh)
 Kết quả cho thấy…,Neutral(Meh)
 Tổng kết…,Neutral(Meh)
 Báo cáo…,Neutral(Meh)
 Hôm nay là một ngày bình thường,Neutral(Meh)
 Hôm qua là một ngày bình thường,Neutral(Meh)
 Ngày mai có lẽ cũng sẽ là một ngày bình thường,Neutral(Meh)
 Tuần này diễn ra bình thường,Neutral(Meh)
 Tháng này cũng bình thường,Neutral(Meh)
 Năm nay cũng thế,Neutral(Meh)
 Cuộc sống vẫn tiếp diễn bình thường,Neutral(Meh)
 Vẫn tiếp tục cuộc sống thường ngày,Neutral(Meh)
 Mọi thứ đang diễn ra bình thường,Neutral(Meh)
 Không có gì bất thường xảy ra,Neutral(Meh)
 Có gì đặc biệt không?,Neutral(Meh)
 Có điều gì thay đổi không?,Neutral(Meh)
 Có gì cần phải làm không?,Neutral(Meh)
 Có cần ghi nhớ điều gì không?,Neutral(Meh)
 Có gì quan trọng không?,Neutral(Meh)
 Trời nắng chang chang,Neutral(Meh)
 Mưa rơi tí tách,Neutral(Meh)
 Gió thổi hiu hiu,Neutral(Meh)
 Cây cối đung đưa,Neutral(Meh)
 Tôi đang ngồi đây,Neutral(Meh)
 Tôi đang làm việc,Neutral(Meh)
 Công việc đang được hoàn thành,Neutral(Meh)
 Mọi thứ đang vận hành,Neutral(Meh)
 Thời gian đang trôi,Neutral(Meh)
 Cuộc sống cứ thế mà trôi qua,Neutral(Meh)
 Tôi tồn tại,Neutral(Meh)
 Tôi đang ở đây,Neutral(Meh)
 Tôi đang sống,Neutral(Meh)
 Đây là thực tại,Neutral(Meh)
 Không có gì cả,Neutral(Meh)
" Gió nhẹ, nắng nhạt. Cảm giác thật… dễ chịu",In love
" Ngày hôm nay, chỉ cần nằm đây thôi cũng đủ rồi",In love
 Tâm trạng phẳng lặng như mặt hồ chiều,In love
" Một tách trà nóng, một cuốn sách cũ. Hoàn hảo",In love
 Thư thái đến lạ.  Không suy nghĩ gì cả,In love
" Chỉ cần nghe tiếng mưa rơi, mọi phiền muộn tan biến",In love
" Cảm giác an yên, như được thả trôi trên dòng sông",In love
 Thở sâu… rồi lại thở sâu…  Mọi thứ nhẹ nhàng quá,In love
" Thời gian trôi chậm,  như đang ở một thế giới khác",In love
"Thật sự thư giãn, không cần gì hơn thế nữa",In love
" Chỉ cần im lặng, lắng nghe tiếng thở của mình",In love
" Một ngày không cần làm gì, thật tuyệt vời",In love
" Tâm hồn như được gột rửa, nhẹ tênh",In love
 Cảm giác bình yên đến lạ thường,In love
" Mọi thứ đều chậm lại,  thật dễ chịu",In love
" Chỉ cần nhìn mây trôi, cũng thấy vui",In love
" Ngồi đây, nghe tiếng chim hót, lòng nhẹ nhõm",In love
" Nhìn hoàng hôn buông xuống,  thật đẹp và tĩnh lặng",In love
" Một buổi chiều yên tĩnh,  đủ để xoa dịu tâm hồn",In love
" Chỉ cần sống chậm lại,  mọi thứ sẽ tốt đẹp",In love
 Thư thái đến mức không muốn làm gì cả,In love
" Một ngày không có áp lực, thật thoải mái",In love
 Tận hưởng sự tĩnh lặng của khoảnh khắc này,In love
" Hít thở không khí trong lành, cảm thấy dễ chịu vô cùng",In love
 Mọi sự căng thẳng tan biến như làn khói,In love
" Nhịp sống chậm lại,  tâm hồn được thư giãn",In love
 Chỉ cần thế này thôi cũng đủ hạnh phúc rồi,In love
 Sự bình yên lan tỏa khắp tâm hồn,In love
 Tận hưởng từng khoảnh khắc nhỏ bé này,In love
" Một ngày hoàn hảo,  đơn giản và thư thái",In love
" Không mục tiêu, không áp lực, chỉ là sự thư thái",In love
" Chỉ cần ngắm nhìn cảnh vật,  lòng cũng nhẹ nhàng hơn",In love
" Mệt mỏi tan biến, thay vào đó là sự thư thái",In love
" Thả lỏng cơ thể,  tâm hồn cũng được giải phóng",In love
" Cảm giác nhẹ nhàng,  như được tái sinh",In love
 Sự bình yên lan tỏa trong từng tế bào,In love
" Chỉ cần được ở một mình,  tâm hồn cũng thanh thản",In love
 Một ngày không có bất cứ điều gì đáng lo lắng,In love
 Tận hưởng sự yên tĩnh hiếm hoi này,In love
 Thư thái đến mức không muốn nói gì cả,In love
" Uống ly cà phê sữa,  cảm giác thật dễ chịu",In love
" Nghe bản nhạc này,  tâm trạng thật thư thái",In love
" Đọc xong cuốn sách,  lòng nhẹ nhàng lạ thường",In love
" Tắm xong,  cơ thể và tâm hồn đều thư giãn",In love
" Vừa hoàn thành công việc,  cảm giác nhẹ nhõm vô cùng",In love
" Ngồi ngắm hoàng hôn cùng người bạn thân, thật chill",In love
" Dạo bộ trong công viên,  thấy lòng nhẹ nhàng hơn",In love
" Ăn một bữa tối đơn giản,  nhưng thật ngon miệng",In love
" Ngồi trên ghế đu đưa,  cảm giác thật thư thái",In love
" Viết nhật ký,  giúp tâm trạng ổn định hơn",In love
" Nằm nghe nhạc,  thư thái đến khó tả",In love
" Vẽ tranh,  một cách để thư giãn hiệu quả",In love
" Làm vườn,  cảm giác nhẹ nhàng và bình yên",In love
" Chơi với thú cưng,  tâm trạng cũng tốt hơn nhiều",In love
" Nghe tiếng sóng biển,  thật thư thái và yên bình",In love
" Nhìn những chú mèo chơi đùa,  cảm thấy dễ chịu",In love
" Đọc một bài thơ hay,  tâm hồn được an ủi",In love
" Ngắm nhìn những bông hoa nở rộ,  thật đẹp và tĩnh lặng",In love
" Nghe tiếng côn trùng kêu,  thật bình yên và thư thái",In love
" Tán gẫu với bạn bè,  tâm trạng cũng thoải mái hơn",In love
" Đi dạo một vòng quanh nhà,  thấy lòng nhẹ nhàng",In love
" Thắp hương,  cảm giác an yên và tĩnh lặng",In love
" Cắm hoa,  không gian trở nên dễ chịu hơn",In love
" Lau dọn nhà cửa,  cảm giác gọn gàng và thoải mái",In love
" Nấu một bữa ăn ngon,  tự thưởng cho bản thân",In love
" Xem phim,  thư giãn sau một ngày dài làm việc",In love
" Nghe podcast,  tâm trạng cũng thoải mái hơn",In love
" Tắm nắng buổi chiều,  cơ thể ấm áp và dễ chịu",In love
" Nghe mưa rơi trên mái nhà,  thật yên tĩnh",In love
" Uống một ly nước ép trái cây,  cảm giác tươi mát",In love
" Hôm nay, tôi thả trôi mình trong dòng chảy êm đềm của sự thư thái",In love
" Cảm giác như được bao bọc bởi một tấm chăn bông ấm áp, nhẹ nhàng",In love
 Tâm trí tôi nhẹ tênh như một chiếc lá bay theo gió,In love
" Sự yên tĩnh bao trùm lấy tôi,  như một chiếc áo choàng vô hình",In love
" Tôi đắm chìm trong biển cả bình yên, không một gợn sóng",In love
" Thế giới ngoài kia ồn ào,  còn tôi vẫn ở đây,  trong chốn bình yên",In love
" Mọi lo toan tan biến,  như những đám mây tan vào hư vô",In love
" Tôi tìm thấy sự an nhiên trong từng hơi thở,  trong từng nhịp đập của trái tim",In love
" Thư thái,  như một bản nhạc du dương ngân vang trong tâm hồn",In love
" Sự tĩnh lặng này,  quý giá hơn bất cứ thứ gì trên đời",In love
" Một ngày chậm rãi,  như một bản tình ca êm ái",In love
 Tâm hồn tôi như được tắm trong ánh nắng vàng ấm áp,In love
" Tôi thả mình trôi theo dòng sông thời gian,  không vội vàng, không bon chen",In love
" Chỉ cần được sống chậm lại,  đã thấy đủ đầy",In love
" Cảm giác dễ chịu lan tỏa khắp cơ thể,  như một dòng suối mát lành",In love
 Tôi tìm thấy sự cân bằng giữa bản thân và thế giới xung quanh,In love
" Một ngày bình yên,  đủ để tôi nạp lại năng lượng cho những ngày tiếp theo",In love
" Sự thư thái này,  là một món quà tuyệt vời mà cuộc sống ban tặng",In love
 Tôi trân trọng từng khoảnh khắc yên bình này,In love
" Chỉ cần ngắm nhìn những điều giản dị,  tôi đã thấy hạnh phúc",In love
 Yên,In love
 Thư thái,In love
 Chỉ cần thế này thôi,In love
 An yên,In love
 Lặng lẽ,In love
 Thoải mái,In love
 Nhẹ tênh,In love
 Tĩnh lặng,In love
 Dịu dàng,In love
Bình yên,In love
 Mùi cà phê thơm nồng lan tỏa,In love
 Gió nhẹ nhàng mơn man trên da,In love
 Âm nhạc du dương len lỏi vào tâm hồn,In love
 Ánh nắng ấm áp sưởi ấm cơ thể,In love
 Vị trà thơm ngon lan tỏa trong miệng,In love
 Cảm giác mềm mại của chiếc chăn trên người,In love
 Âm thanh của tiếng chim hót trong trẻo,In love
 Mùi đất ẩm ướt sau cơn mưa,In love
 Cảm giác mát mẻ của làn gió chiều,In love
 Vị ngọt thanh của trái cây tươi,In love
" Có lẽ, hạnh phúc chỉ là những điều giản đơn như thế này",In love
 Tôi nhận ra giá trị của sự tĩnh lặng trong cuộc sống hối hả,In love
" Sự thư thái này nhắc nhở tôi rằng,  cần phải biết sống chậm lại",In love
 Tôi học được cách trân trọng những khoảnh khắc bình yên,In love
" Thư thái không phải là sự vắng mặt của vấn đề, mà là sự chấp nhận",In love
 Sự yên tĩnh này là liều thuốc bổ cho tâm hồn mệt mỏi,In love
" Chỉ cần sống chậm lại, mọi thứ sẽ trở nên tốt đẹp hơn",In love
 Tôi tìm thấy sự bình an trong chính mình,In love
 Đây mới là cuộc sống tôi mong muốn,In love
 Sự thư thái là trạng thái lý tưởng mà tôi luôn hướng đến,In love
 Thư thái như một giấc ngủ ngon,In love
 Yên bình như dòng sông hiền hòa,In love
 Thoải mái như được thả lỏng gánh nặng,In love
 Mềm mại như làn gió xuân,In love
 An nhiên như hoa sen nở giữa đầm lầy,In love
 Nhẹ nhàng như lông vũ bay trên không,In love
 Êm đềm như tiếng ru của mẹ,In love
 Tĩnh lặng như đêm tối không sao,In love
 Mát mẻ như dòng suối trong veo,In love
 Sảng khoái như cơn mưa mùa hè,In love
" Vừa xong một giấc ngủ trưa,  cảm giác dễ chịu vô cùng",In love
" Đã hoàn thành bài tập,  cảm thấy nhẹ nhõm",In love
" Đã uống xong tách trà,  tâm hồn bình yên lạ thường",In love
" Ngồi đây ngắm mưa rơi,  thật thư thái",In love
" Đang nghe bản nhạc này,  tâm trạng rất chill",In love
" Mới đi dạo về,  cảm giác dễ chịu",In love
" Vừa tắm xong,  cơ thể nhẹ tênh",In love
" Đang đọc một cuốn sách hay,  thật thư giãn",In love
" Vừa ăn xong,  cảm thấy no đủ và thoải mái",In love
" Đang ngắm hoàng hôn,  thật đẹp và yên bình",In love
 Có gì tuyệt vời hơn thế này không?,In love
 Còn gì bằng cảm giác này?,In love
" Sự thư thái này,  có phải là hạnh phúc không?",In love
 Liệu có gì có thể làm tôi phiền lòng?,In love
 Đây có phải là sự bình yên tôi tìm kiếm?,In love
" Ôi, cảm giác thư thái này!",In love
 Thật tuyệt vời!,In love
 Thật dễ chịu làm sao!,In love
 Tuyệt vời!,In love
 Thật bình yên!,In love
 Mây trôi thật chậm. Cảm giác dễ chịu lạ thường,Chill
" Ngồi đây, nghe tiếng mưa rơi. Tâm hồn như được gột rửa",Chill
 Chỉ cần một tách trà nóng và cuốn sách cũ. Thế là đủ,Chill
" Gió nhẹ thổi qua, mang theo mùi hoa sữa. Bình yên đến lạ",Chill
 Thật thoải mái khi chẳng cần phải nghĩ ngợi gì cả,Chill
" Một ngày không deadline, không áp lực. Thật dễ thở",Chill
" Cơ thể thả lỏng, tâm trí trống rỗng. Cảm giác này thật quý giá",Chill
" Nhắm mắt lại, hít thở sâu. Thư giãn tuyệt đối",Chill
" Chỉ cần nằm đây, ngắm nhìn bầu trời.  Tất cả đều ổn",Chill
Tiếng chim hót líu lo ngoài cửa sổ. Một bản nhạc du dương cho tâm hồn,Chill
 Thật nhẹ nhõm khi mọi việc đã tạm ổn,Chill
" Không cần vội vàng, không cần lo lắng.  Chỉ cần tận hưởng khoảnh khắc này",Chill
 Tâm trạng thư thái như mặt hồ phẳng lặng,Chill
 Cảm giác yên bình lan tỏa khắp cơ thể,Chill
" Chỉ cần sự tĩnh lặng này, là đủ rồi",Chill
" Tất cả đều chậm lại,  nhịp sống dịu êm",Chill
" Một buổi chiều yên tĩnh, không một chút vướng bận",Chill
" Cảm giác nhẹ tênh, như đang bay bổng",Chill
 Đã lâu rồi mới có được cảm giác thư thái như thế này,Chill
" Tận hưởng từng hơi thở, từng khoảnh khắc bình yên",Chill
" Đang uống trà, đọc sách. Cảm giác thật dễ chịu",Chill
" Nghe nhạc Jazz, thả hồn theo giai điệu",Chill
" Vẽ tranh, quên hết mọi phiền muộn",Chill
" Tắm nước ấm, thư giãn từng tế bào",Chill
" Ngồi thiền, tâm hồn thanh tịnh",Chill
" Dạo bước trong công viên, tận hưởng không khí trong lành",Chill
" Làm vườn, hòa mình vào thiên nhiên",Chill
" Nghe tiếng sóng biển vỗ, cảm giác thật bình yên",Chill
" Nằm võng, đu đưa nhẹ nhàng",Chill
" Xem phim hoạt hình, thả mình vào thế giới cổ tích",Chill
" Đọc truyện tranh, trở về tuổi thơ",Chill
" Nấu ăn, tận hưởng niềm vui nhỏ bé",Chill
" Viết nhật ký, ghi lại những suy nghĩ của mình",Chill
" Ngắm hoàng hôn, cảm nhận vẻ đẹp của thiên nhiên",Chill
" Ngắm sao trời, ước những điều nhỏ nhoi",Chill
" Chơi game nhẹ nhàng, thư giãn đầu óc",Chill
" Nghe podcast, mở rộng tầm nhìn",Chill
" Cứ thế nằm dài, nhìn lên trần nhà.  Không làm gì cả",Chill
 Đang nghe tiếng mưa rơi trên mái tôn.  Âm thanh rất dễ chịu,Chill
" Tản bộ buổi sáng, hít thở không khí trong lành",Chill
" Tâm hồn nhẹ bẫng, không vướng bận",Chill
" Mọi thứ đều chậm lại,  nhịp sống dịu êm",Chill
 Cảm giác như được giải phóng khỏi mọi áp lực,Chill
" Tâm trí tĩnh lặng, không còn lo âu",Chill
 Thật thoải mái khi được sống chậm lại,Chill
" Cuộc sống đơn giản,  nhưng lại đầy đủ",Chill
" Hạnh phúc giản đơn,  chỉ cần thế thôi",Chill
 Tôi tìm thấy sự bình yên trong chính mình,Chill
 Cảm thấy hài lòng với hiện tại,Chill
" Không cần phải cố gắng,  chỉ cần là chính mình",Chill
" Tâm trạng thư thái,  như một giấc mơ đẹp",Chill
 Tôi đang ở trong trạng thái rất chill,Chill
 Sự bình yên đang bao phủ lấy tôi,Chill
 Tôi cảm thấy rất nhẹ nhàng và thư thái,Chill
 Thật tuyệt vời khi được sống trong khoảnh khắc này,Chill
 Tôi hài lòng với chính mình,Chill
 Tôi đang tận hưởng sự bình yên hiếm hoi này,Chill
 Tất cả đều tốt đẹp,Chill
 Tôi cảm thấy rất ổn,Chill
 Chỉ cần thế này là đủ rồi,Chill
" Ngồi uống cà phê, nhìn dòng người qua lại. Thật thư thái",Chill
" Đang nghe nhạc, thả mình vào không gian yên tĩnh.  Rất chill",Chill
" Nằm đọc sách, mùi hương sách cũ thoang thoảng. Cảm giác tuyệt vời",Chill
" Đang xem phim, quên đi mọi lo toan.  Thật dễ chịu",Chill
" Ngồi ngắm cảnh hoàng hôn, cảm giác nhẹ nhàng và bình yên",Chill
" Tắm nắng chiều, cảm nhận hơi ấm của mặt trời.  Thật thư giãn",Chill
" Đang ăn bánh ngọt, thưởng thức vị ngon ngọt.  Cảm giác rất dễ chịu",Chill
" Đang viết lách, thả hồn theo từng câu chữ.  Thật thoải mái",Chill
" Đang nghe tiếng mưa rơi,  nhìn ra ngoài cửa sổ.  Thật yên tĩnh",Chill
" Đang chăm sóc cây cảnh,  cảm nhận sự sống đâm chồi nảy lộc.  Thật thư thái",Chill
" Đang tập yoga,  cơ thể dẻo dai, tinh thần thư thái",Chill
" Đang nghe tiếng chim hót,  cảm nhận sự sống tươi đẹp",Chill
" Đang đi dạo trên bãi biển,  gió biển mát lạnh thổi đến",Chill
" Đang ngồi thiền, tâm trí tĩnh lặng,  không còn chút tạp niệm",Chill
" Đang đọc một cuốn sách hay,  thế giới trong sách cuốn hút tôi",Chill
" Đang pha một tách trà thơm,  thưởng thức hương vị đắng nhẹ",Chill
" Đang xem một bộ phim hài,  cười thả ga",Chill
" Đang nghe nhạc không lời,  tâm hồn thư thái,  nhẹ nhàng",Chill
" Đang nằm trên bãi cỏ xanh mướt,  ngắm nhìn bầu trời cao rộng",Chill
" Đang hít thở không khí trong lành,  cảm nhận sự sống tràn đầy",Chill
" Đang vẽ tranh,  thả mình vào thế giới màu sắc",Chill
" Đang chơi đàn,  âm nhạc như một dòng suối chảy róc rách",Chill
" Đang nghe kể chuyện,  tưởng tượng bay bổng",Chill
" Đang làm bánh,  thưởng thức mùi hương thơm phức",Chill
" Đang thư giãn với liệu pháp aromatherapy,  mùi hương tinh dầu lan tỏa",Chill
" Đang massage thư giãn,  cơ thể được thả lỏng hoàn toàn",Chill
" Đang ngâm mình trong bồn tắm nước nóng,  thư thái đến tận cùng",Chill
" Đang đọc truyện cười,  cười đến mức nước mắt rơi",Chill
" Đang ngắm nhìn những bông hoa nở rộ,  cảm nhận vẻ đẹp của cuộc sống",Chill
" Đang nghe tiếng suối chảy róc rách,  giúp tôi thư giãn và tĩnh tâm",Chill
 Mưa nhẹ.  Chill,Chill
 Trà ấm.  Tuyệt,Chill
 Sách hay.  Thư thái,Chill
 Nhạc du dương.  Yên bình,Chill
 Gió nhẹ.  Thoải mái,Chill
 Ánh nắng chiều.  Ấm áp,Chill
 Ngày nghỉ.  Tuyệt vời,Chill
 Không làm gì.  Hạnh phúc,Chill
 Chỉ cần thế thôi.  Đủ rồi,Chill
Bình yên,Chill
 Cảm giác lười biếng dễ chịu,Chill
" Mọi thứ đều chậm rãi, nhẹ nhàng",Chill
" Tâm trạng thư thái, thoải mái",Chill
" Không muốn làm gì cả, chỉ muốn nằm yên",Chill
 Thật dễ chịu khi được ở một mình,Chill
 Không cần phải suy nghĩ nhiều,Chill
 Chỉ cần sống chậm lại và tận hưởng,Chill
 Cảm giác như được tái tạo năng lượng,Chill
 Tâm hồn được gột rửa sạch sẽ,Chill
 Thật tuyệt khi được sống trong hiện tại,Chill
 Mọi lo âu đều tan biến,Chill
" Tâm trí trong trẻo, sáng suốt",Chill
" Cơ thể nhẹ tênh, thoải mái",Chill
" Hơi thở sâu, thư giãn",Chill
 Sự tĩnh lặng tuyệt vời,Chill
 Thời gian trôi chậm lại,Chill
 Thế giới xung quanh như biến mất,Chill
 Chỉ còn lại sự bình yên,Chill
 Tôi cảm thấy rất hài lòng,Chill
 Cuộc sống thật đơn giản mà đẹp,Chill
 Thư thái,Chill
 Yên bình,Chill
 Thoải mái,Chill
 Dễ chịu,Chill
 Nhẹ nhàng,Chill
 Tĩnh lặng,Chill
 An nhiên,Chill
 Hài lòng,Chill
 Ổn áp,Chill
 Tuyệt vời,Chill
 Thật sảng khoái,Chill
 Cảm giác tuyệt diệu,Chill
 Thư giãn tuyệt đối,Chill
 Ngủ ngon giấc,Chill
 Thật dễ thở,Chill
 Mọi thứ đều tốt,Chill
 Tâm hồn an yên,Chill
 Thật nhẹ tênh,Chill
 Cảm giác bay bổng,Chill
 Hạnh phúc đơn giản,Chill
 Như một chú mèo nằm phơi nắng,Chill
 Như một dòng sông hiền hòa chảy trôi,Chill
 Như một bông hoa nở rộ trong nắng sớm,Chill
 Như một đám mây trôi lững lờ trên trời,Chill
 Như một chiếc lá nhẹ nhàng rơi xuống,Chill
" Như một bản nhạc du dương, êm đềm",Chill
 Như được thả mình vào biển cả mênh mông,Chill
 Như đang được ôm ấp trong vòng tay ấm áp,Chill
 Như đang ở trong một khu vườn yên tĩnh,Chill
 Như được đắm mình trong sự bình yên tuyệt đối,Chill
